,Date,Open Price,High Price,Low Price,Close Price,Volume,MA60,MA20,MA10,MA5,kc_middle,kc_upper,kc_lower
0,20221101 00:00:00,20490.74,20505.62,20440.64,20456.57,10863.93121,,,,,20456.57,20586.53,20326.61
1,20221101 01:00:00,20455.8,20559.27,20454.86,20514.66,10940.24231,,,,,20486.323414634146,20657.78867779204,20314.85815147625
2,20221101 02:00:00,20514.66,20589.67,20495.45,20579.0,10602.17836,,,,,20518.7344964314,20696.463500121434,20341.005492741366
3,20221101 03:00:00,20578.75,20586.94,20475.77,20482.57,10123.83554,,,,,20509.021338418257,20699.7224259437,20318.320250892815
4,20221101 04:00:00,20482.57,20521.87,20466.71,20495.53,8905.81588,,,,20505.666,20506.053567782412,20677.126053435997,20334.981082128827
5,20221101 05:00:00,20495.99,20555.21,20491.85,20530.41,8071.52908,,,,20520.434,20510.623703599274,20672.23046868115,20349.016938517398
6,20221101 06:00:00,20530.41,20662.8,20525.21,20624.57,14020.49773,,,,20542.416,20529.378159081738,20712.754630902586,20346.00168726089
7,20221101 07:00:00,20625.53,20657.01,20560.27,20599.51,10699.52674,,,,20546.518,20539.712373957853,20724.8628486731,20354.561899242606
8,20221101 08:00:00,20598.74,20644.78,20571.11,20584.63,9606.29616,,,,20566.93,20545.730911481845,20724.709048723133,20366.75277424056
9,20221101 09:00:00,20583.63,20700.0,20545.45,20597.4,15556.65255,,,20546.485,20587.303999999996,20552.103657526986,20751.05992397049,20353.147391083483
10,20221101 10:00:00,20597.4,20655.0,20574.24,20617.76,13584.19733,,,20562.604,20604.773999999998,20559.631556850472,20753.13214790316,20366.130965797784
11,20221101 11:00:00,20617.76,20623.65,20489.92,20522.79,14621.37958,,,20563.416999999998,20584.417999999998,20555.672829462415,20759.480339864127,20351.865319060704
12,20221101 12:00:00,20522.23,20570.07,20477.76,20541.12,12341.39523,,,20559.628999999997,20572.74,20554.19736984739,20755.432184456822,20352.962555237955
13,20221101 13:00:00,20542.52,20557.73,20353.9,20422.02,22032.64534,,,20553.574,20540.218,20541.480148347957,20769.480600949042,20313.47969574687
14,20221101 14:00:00,20420.54,20483.62,20330.74,20406.45,25972.01751,,,20544.666,20502.028000000002,20529.090516549808,20766.883020410063,20291.298012689553
15,20221101 15:00:00,20406.45,20462.75,20391.49,20444.0,13379.78561,,,20536.025,20467.276,20521.61309356712,20747.711386067003,20295.51480106724
